title,price,monthday,year,room,m2,location
ÇÜNÜR'DE SAHİBİNDEN YEMYEŞİL SİTE İÇİ ARAKAT 3+1 KİRALIK,30.000 TL,07 Aralık,2025,3+1,165,"Anadolu
Çünür Mh."
TİP FAKÜLTESİ KARŞISI ARA KAT 2+1,20.000 TL,07 Aralık,2025,2+1,70,"Anadolu
Çünür Mh."
MNS GAYRİMENKULDEN KİRALIK İSKENDER MAH 3+1 ARAKAT DAİRE,20.000 TL,07 Aralık,2025,3+1,150,"Çelebiler
İskender Mh."
Sermet mhl sinde 1+0 kiralık şık apart daire,8.650 TL,07 Aralık,2025,Stüdyo (1+0),30,"Kepeci
Sermet Mah."
ÇÜNÜR PARS YAŞAM DA KİRALIK 1+1 EŞYALI APART DAİRE,12.500 TL,07 Aralık,2025,1+1,55,"Anadolu
Çünür Mh."
ISPARTA MERKEZ ÇELEBILERDE EŞYALI 2+1 KIRALIK DAIRE,16.000 TL,07 Aralık,2025,2+1,80,"Çelebiler
Çelebiler Mh."
Güneş Gayrimenkul'den Meydan AVM Mevki Yakıt Net Dahil 1+0,7.250 TL,07 Aralık,2025,Stüdyo (1+0),35,"Tokmacık
Yayla Mah."
NAZMİYE DEMİREL ve ŞEHİR HASTANESİ YAKINI LUX DAİRE 4+1 3.K/GKD,25.000 TL,07 Aralık,2025,4+1,200,"Kepeci
İstiklal Mh."
Kiralık apart,7.000 TL,07 Aralık,2025,Stüdyo (1+0),25,"Anadolu
Fatih Mah."
KİRALIK APART,8.000 TL,07 Aralık,2025,Stüdyo (1+0),80,"Anadolu
Yedişehitler Mh."
Güneş Gayrimenkul'den Amerikan Mutfaklı + Yatak Odalı Bağlar Mh,14.000 TL,07 Aralık,2025,1+1,60,"Kutlubey
Bağlar Mh."
GYM FACTORY ÜZERİ ASANSÖRLÜ 2+1 DAİRE,17.500 TL,07 Aralık,2025,2+1,100,"Anadolu
Bahçelievler Mh."
FATİH 'te 1+1 EŞYASIZ SİTE İÇİ B. KOMBİLİ KİRALIK APART DAİRE,9.000 TL,07 Aralık,2025,1+1,45,"Anadolu
Fatih Mah."
otogar karşisinda sıfır eşyali kiralık apart,12.999 TL,07 Aralık,2025,1+1,60,"Anadolu
Çünür Mh."
32 ARTIBİR EMLAKTAN ÇÜNÜRDE PAZARA YAKIN 3+1 ARAKAT DAİRE,22.000 TL,08 Aralık,2025,3+1,160,"Anadolu
Çünür Mh."
HERŞEY DAHİL-Orduevine çok yakın 2+1 Apart-Arakat,18.000 TL,07 Aralık,2025,2+1,60,"Çelebiler
İskender Mh."
ISPARTA MERKEZ MUZAFFERTÜRKEŞ MAHALLESİNDE KİRALIK SIFIR DAİRE,23.500 TL,08 Aralık,2025,3+1,135,"Anadolu
Muzaffer Türkeş Mh."
